pageid,obp_author
22418929,"Douglas, Stephen A."
2501948,"Callahan, Charles C."
198702,"Mason, Francis"
56354,"Giraldus, Cambrensis, 1146?-1223? "
22832076,"Fenton, Mrs."
146112,"Maitland, Francis"
289928,"Aikin, John"
6255900,"Dewey, Orville"
16300,"Julian, Emperor"
24006448,"Hodson, Thomas"
1079493,"Gilbert, Josiah"
440324,"Smart, John"
21076281,"Stowell, W.H."
28919588,"Saxe, John Godfrey"
940689,"Boussingault, J. B."
471396,"Hawker, George"
241920,"German, Edward"
1419885,"Charlevoix, Pierre-François-Xavier de"
5570894,"Eckartshausen, Karl von, 1752-1803"
10561370,"Petrus, Ravennas, approximately 1448-1508 or 1509 "
7097672,"Stewart, Don"
322276,"Orr, John"
296234,"Lunacharsky, Anatoly Vasilievich"
24425024,"Roberts, Len"
3377000,"Woodberry, George"
143283,"Vanbrugh, John"
7424684,"Bagchi, K."
25769101,"Gaul, Gilbert"
1195302,"Scott, Glenn"
3025106,"Murray, John"
24640098,"Brumfield, William Craft"
183592,"Chamisso, Adelbert von"
222040,"Greeley, Andrew M."
11503680,"Dallas, Robert Charles, 1754-1824"
4833,"Wills, Jim"
3992708,"Halsted, George Bruce"
324246,"Wolf, John B."
8019257,"Murray, Daniel A."
7957902,"Booth, Philip"
16346,"Jellicoe, John"
525962,"Wright, T. W."
40987316,"Lewis, Simon"
1788043,"Garrod, Archibald Edward"
27750578,"White, William Frank"
3880086,Nabil Zarandi
349498,"Naylor, James"
2389008,"Eisenhart, Luther Pfahler"
441078,"Díaz del Castillo, Bernal, 1496-1584"
4654782,"Eigner, Larry, 1927-1996"
2279634,"Morley, George"
3110251,"Creelman, James"
17070440,"Sturgis, Julian"
676354,"Garrett, Pat F."
1505218,"Steward, T. G."
2468097,"Lacy, Thomas Hailes"
503739,"McAuley, Mary"
8269855,"Williams, Brian"
49695,"Legendre, A. M."
5237992,"Perkins, James Breck"
7809456,"Jorgenson, Dale W."
9732436,"O'Donnell, Guillermo"
537730,"Conze, Edward"
1750912,"Colden, Cadwallader"
25980005,"Moyle, Walter"
1338894,"Stickley, Gustav"
386448,"Helps, Arthur"
15751083,"England, George"
206362,"Ritchie, David George"
1186186,"Ogden, Peter Skene"
793073,"Griswold, Ralph E."
13051535,"Hilton, John"
86634,"Noordung, Hermann"
4372062,"Evans, Leonard"
8521165,"Harpur, Charles"
7717848,"Scott, Allen J."
588721,"Kemeny, John"
4036392,"Blanchet, Francis Norbert"
608900,"Edwards, Bruce"
1329066,"Green, William Henry"
2283520,"Heywood, Ezra Hervey"
493703,"Brown, Paul"
12230490,"English, John"
2189564,"Seymour, E. S."
1391900,"Kindleberger, Charles Poor"
206357,"Campbell, Alexander"
2476045,"O'Keefe, John"
246552,"McCrae, John"
1323972,"Tolman, Richard Chace"
652550,"Barrow, John"
5146640,"Woodward, Robert Simpson"
18905364,"Anthony, Ian"
1556324,"Venn, John"
50237,"Person of quality, A"
728864,"Freneau, Philip"
1239,"Asoka, King"
4349046,"Weaver, John"
10444815,"Munro, John"
10104353,"Casey, John"
648136,"Rafinesque, C. S."
73026,"Bashkirtseff, Marie, 1860-1884"
8352812,"Edwards, Robert R."
8352812,"Edwards, Robert"
2409166,"Nilus, Sergiei"
4737105,"Hamill, John"
24050102,"Wiley, David"
9277066,"Grune, Dick"
11041673,"Gregory, George"
19175032,"Brooks, E. S."
2003280,"George, Arthur A."
1155869,"Hoccleve, Thomas"
1435357,"Messager, André"
7837525,"Scales, John"
1718506,"Bluntschli, Johann Caspar"
12237095,"Bridge, B."
4507073,"Adair, James"
6575423,"Nasr, Seyyed Vali Reza"
27291515,"Wilson, R. M."
36977153,"Earl, Robert"
1646210,"Carver, Jonathan"
14843162,"Cooke, Josiah Parsons"
19639447,"Barton, Charlotte"
144475,"Layard, Austen Henry"
1166243,"Cole, Herbert"
21035972,"Wilson, Andrew"
523571,"May, Thomas Erskine"
1189627,"Maxwell, Caroline"
2647776,"Powers, James F."
1252437,"Steuart, James"
38811871,"O'Leary, De Lacy, 1872-"
8978367,"Munro, Neil"
2487084,"Charles, Cecil"
24262320,"Coffin, Amory"
16636712,"Roberts, George"
1338422,"Bull, Thomas"
539184,"Boyle, Charles"
2008285,"Mitchell, James"
36845,"Dunant, Henry"
3053579,"Le Conte, John"
11301664,"Mahan, Asa"
14137600,"Wright, Katharine"
6060597,"Nayar, Sushila"
325238,"York, Herbert"
5975006,"Oliver, Raymond"
3809717,"White, Jessie"
18354232,"Milner, H. M."
2259305,"Reuter, Bjarne"
5637341,"French, John"
8855,"Geisel, Theodor Seuss, 1904-1991"
1475124,"Hassam, Childe"
234878,"Schmoller, Gustav"
25331262,"Child, David Lee"
9530159,"Riley, Judith"
242857,"Sismondi, J. C. L. Simonde de"
83469,"Gill, Eric"
2678794,"Reade, Winwood"
30479,"More, Thomas, Saint, 1478-1535"
5872149,"Cooley, Thomas McIntyre"
957675,"Park, Edwards Amasa"
23441779,"Williams, Robert"
4101430,"Scully, Vincent"
1893358,"Sandemose, Aksel"
2453145,"Broughton, Hugh"
27452197,"Ward, David"
4602909,"Arrighi, Ludovico degli"
27372459,"Potter, Robert"
240092,"Klein, Lawrence Robert"
312767,"Jebb, Richard C."
1789028,"Vattel, Emer de"
3386595,"Hewitt, John Hill"
9695552,"Seillière, Ernest"
7020762,"Price, Weston A."
5280688,"London, Charmian"
9278126,"Thomas, Edward Henry"
615202,"Kurokawa, Kisho"
6987253,"Cannan, Edwin"
4644610,"Jennens, Charles"
646649,"Clarke, Ron"
6093605,"Dicenta, Joaquín"
1120947,"Ozanam, Jacques"
221425,"Massinger, Philip"
28955528,"Hayward, Alan"
333826,"Mead, George Herbert"
18342175,"Ross, Mary"
2704457,"Dürckheim, Karlfried Graf"
5867459,"Izumi Shikibu, 974?-"
1235817,Gentleman at York
6769371,"Strang, William"
382267,"Bowles, William Lisle"
2485015,"Ross, Adrian"
2153647,"Dyson, Edward"
15980134,"Thornton, Robert John"
27739345,"Montgomery, George R."
188405,"Hutcheson, Francis"
5281663,"Noyes, William"
149128,"Suzuki, David T."
2273048,"Laisant, A."
1701070,"Allen, John"
329367,"Hirtius, Aulus"
13326204,"Broadus, John Albert"
1352032,"Lieber, Francis"
15763078,"Strunk, William"
2087938,"Gentry, Curtis"
654943,"Sorbiere, Samuel"
1806429,"Wells, David Ames"
1801673,"Christensen, Jens"
4450889,"McClellan, Edwin"
30406973,"Clergyman, A"
22112245,"Cushing, Luther Stearns"
8949306,"Tilke, Max"
14020553,"Kohl, Johann Georg"
723681,"Donatus, Aelius"
3095202,"Pollard, Charles"
2296180,"Chertkov, V. G."
7331062,"Flynn, Michael"
11652,"Brooks, Phillips"
3826983,"Thorpe, William"
54132,"Palme, Olof"
3391449,"Brooks, William"
165123,"Alfven, Hannes"
242876,"Coxe, William"
53311,"Helmholtz, Hermann von"
23666087,"Evans, Stephen"
87793,"Lagrange, J. L."
810678,"Sivananda, Swami"
3424938,"Bleich, David"
3806249,"Ramanujan, A. K."
16433,"Jalal al-Din Rumi, Maulana"
4280786,"Fry, W. H."
8717440,"Stewart, Frances"
17321334,"Hecker, J. F. C."
41332633,"Sowerby, Millicent"
93423,"Asser, John"
4681407,"Falkberget, Johan"
6465571,"Wasserman, Harvey"
3468541,"Lowe, Helen"
297308,"Ransom, John Crowe"
13549633,"Reed, William B."
2288703,"Silverman, Joseph H."
4854113,"Long, John Luther"
8603397,"Winterbotham, William"
996618,"Shaku, Soen"
2287086,"Telang, Kashinath Trimbak"
416808,"Dwight, James"
241758,"Finney, Charles G., 1792-1875"
36111827,"Armistead, Samuel G."
5806990,"Gide, Charles"
7074069,"Meade, L. T., 1854-1914"
677490,"Green, William"
39232181,"Dillmont, Thérèse de, 1846-1890"
25711667,"Stansbury, Howard"
26151202,"Harrison, Vernon"
5938433,"Stephens, Henry"
289817,"Morton, Colin"
11571132,"Hughes, Arthur"
12550347,"Macoy, Robert"
2024973,"Feuillet, Raoul-Auger, 1659 or 1660-1710"
3444354,"Stone, Alice"
8756,"Dennett, Daniel"
1795942,"Phelps, Elizabeth Stuart, 1844-1911"
250828,"Robertson, F. W."
3966212,"Hughes, Dorothy"
19734,"Fraser, Malcolm"
2137015,"Shabistari, Mahmud"
32165263,"Lewis, Anna"
7164457,"Poor, Henry V."
10996723,"Reid, Jamie"
19929936,"Boutet de Monvel, Louis-Maurice"
16131753,"Cust, Lionel"
1359509,"Gurnall, William"
4743956,"Kraus, John"
744853,"Austin, Gordon"
27661106,"Weller, W. W."
633526,"Dawson, George M."
1547128,"Lazarus, Henry"
5275417,"Kelley, William D."
2347554,"Gollancz, Israel, 1864-1930"
8711340,"Mudge, Zachariah Atwell"
3412459,"Cheney, Sheldon"
1790558,"Harvey, Martin"
1191246,"Planche, James Robinson"
21835139,"Wilkin, Robert N."
11124159,"Hillier, George"
7135882,"Baegert, Jacob"
607372,"Perceval, John"
2722204,"Lippincott, Sarah K."
13953080,"Crowquill, Alfred"
1016487,"Masterman, Charles F. G."
312168,"Stainer, John"
313380,"Bennett, William Sterndale"
10907183,"Marshall, Will"
9760424,"Blair, Helen"
2873996,"Brisbane, Albert, 1809-1890"
8737274,"Miner, Charles"
2572604,"Russell, James"
4752901,"Thelwall, John"
6118039,"Hood, Basil"
1272918,"Merivale, Charles"
4282659,"Duyckinck, Evert A."
1973545,"Wilson, Walter"
3390672,"Langley, Batty"
7998163,"Schubert, Hermann"
3164304,"Samawi, Muhammad Tijani"
331064,"Butler, R. (Richard)"
2671945,"Simons, Ray"
18325328,"Hutchins, John"
324158,"Nekrasov, Nikolai Alekseevich"
1205153,"Hancock, Keith"
17554284,"Physician, A"
2354505,"Brady, Nicholas"
2332965,"Mun, Thomas"
3727699,"Clegg, Douglas"
299674,"Steele, Guy"
6030768,"Lanza, Robert"
2072846,"Burlamaqui, J. J."
3136942,"Kirkland, Caroline"
322617,"Parry, William"
243824,"Hare, Richard"
1773590,"Anderson, T. M."
12900989,"Bacon, Edward"
11150287,"Young, Ellsworth"
11160888,"Armstrong, Jon"
1347284,"Charlton, Mary"
19183398,"Morley, Frank"
255286,"Allen, James A."
14083366,"Fawcett, Benjamin"
144460,"Bridges, Robert"
21789192,"North, Thomas"
322001,"Berry, Michael"
14160012,"Utley, Robert M."
10440417,"Taylor, G. J."
21064289,"Petitot, Emile"
12562,"Mendel, Gregor"
25643243,"Gale, James S."
25993158,"Clark, Daniel"
960220,"Beechey, Frederick William"
1907745,"Condon, Edward U."
201687,"Clark, Robert"
2326773,"Burder, George"
33642424,"Tusi, Nasir al Din al"
384020,"Edwards, Frank S."
224973,"Wanamaker, John"
18634705,"Ratcliffe, Peter"
1501967,"Allan, David"
1515754,"Vinton, Francis"
14121790,"Baines, Edward, Sir, 1800-1890"
958026,"Young, Terence"
7873449,"Sidgwick, Henry"
3134558,"Cohen, Ben"
9903002,"Margolis, Joseph"
1717775,"Tauler, Johannes, approximately 1300-1361"
18838343,"Bird, Arthur"
524066,"Catesby, Mark"
13733234,"Tabb, John B."
949933,"Bugenhagen, Johann"
434532,"Kelly, George A."
647967,"Bateson, William"
729914,"Prudentius, 348-"
250790,"Doddridge, Philip"
30176470,"Shaw, J. D."
1565604,"Berners, Gerald Hugh Tyrwhitt-Wilson, Baron, 1883-1950"
25313249,"Jay, Frank"
438992,"Godwin, Francis"
30364320,"Canniff, William"
2635354,"Belt, Thomas"
10018,"Dijkstra, Edsger"
6042215,"Fine, Nathan"
396514,"Appleton, Victor"
2187859,"Kern, Hendrik"
16412,"Tiptree, James"
84183,"Richthofen, Manfred von"
17448697,"Hoare, C. A. R."
18695602,"Rose, Geoffrey"
3489788,"Kimmel, Michael"
3749270,"Lovins, L. Hunter"
7054152,"Optic, Oliver, 1822-1897"
2156741,"Fletcher, Richard A."
34128,"Wundt, Wilhelm Max"
18004569,"Sheed, F. J."
1509726,"Outler, Albert"
42034632,"Rocker, Rudolf"
401495,"Francis, Philip"
30333410,"Care, Henry"
1437543,"Nitobe, Inazo"
350330,"Long, George"
24893621,"Baroni, Marco"
41391974,"Benson, Joseph"
